,Estoque:,,002,FARMACIA CENTRAL,,,,,,,,,,,
,,,,,,,"Qtd. Itens
Dispensada",,"Qtd. Itens
Devolvida","%
Devolução",,"% Represen.
Dispensação",,"% Represen.
    Devolução",
Setor,,,,,,,,,,,,,,,
,170,UTI 5º ANDAR B,,,,31.181,,1.296,,0.04,,,0.29,,0.17
,60,UNIDADE CARDIO-INTENSIVA,,,,21.873,,1.324,,0.06,,,0.20,,0.17
,55,UTI 1,,,,17.043,,1.262,,0.07,,,0.16,,0.17
,169,UNID. INTERN. ADULTO 3º ANDAR B,,,,12.670,,1.025,,0.08,,,0.12,,0.14
,51,UNID. INTERN. ADULTO 3º ANDAR A,,,,11.444,,1.160,,0.10,,,0.11,,0.15
,50,UNID. INTERN. ADULTO 2º ANDAR A,,,,7.842,,797,,0.10,,,0.07,,0.11
,167,UNID. INTERN. ADULTO 2º ANDAR B,,,,5.939,,703,,0.12,,,0.05,,0.09
,49,UNID. INTERN. ADULTO 1º ANDAR A,,,,356,,8,,0.02,,,0.00,,0.00
,92,RECEPCAO DA EMERGENCIA,,,,101,,1,,0.01,,,0.00,,0.00
,17,CENTRO CIRURGICO S2,,,,22,,0,,0.00,,,0.00,,0.00
,13,EMERGENCIA ADULTO,,,,13,,0,,0.00,,,0.00,,0.00
,12,LEITOS DE ESPERA,,,,10,,6,,0.60,,,0.00,,0.00
,228,UNIDADE CIRURGICA - SEGUNDO SUBS,,,,10,,1,,0.10,,,0.00,,0.00
,14,CENTRO CIRURGICO S1,,,,2,,0,,0.00,,,0.00,,0.00
,36,RADIOLOGIA,,,,1,,0,,0.00,,,0.00,,0.00
,48,HEMODINAMICA,,,,1,,0,,0.00,,,0.00,,0.00
,,,,,Totais:,108.508,,7.583,,,0.07,,,,
