,Estoque:,,002,FARMACIA CENTRAL,,,,,,,,,,,
,,,,,,,"Qtd. Itens
Dispensada",,"Qtd. Itens
Devolvida","%
Devolução",,"% Represen.
Dispensação",,"% Represen.
    Devolução",
Setor,,,,,,,,,,,,,,,
,60,UNIDADE CARDIO-INTENSIVA,,,,51.915,,818,,0.02,,,0.35,,0.13
,170,UTI 5º ANDAR B,,,,27.699,,803,,0.03,,,0.18,,0.13
,55,UTI 1,,,,21.126,,1.002,,0.05,,,0.14,,0.16
,169,UNID. INTERN. ADULTO 3º ANDAR B,,,,12.525,,683,,0.05,,,0.08,,0.11
,51,UNID. INTERN. ADULTO 3º ANDAR A,,,,11.016,,733,,0.07,,,0.07,,0.12
,167,UNID. INTERN. ADULTO 2º ANDAR B,,,,9.027,,1.019,,0.11,,,0.06,,0.16
,50,UNID. INTERN. ADULTO 2º ANDAR A,,,,8.489,,751,,0.09,,,0.06,,0.12
,11,CTI NEURO INTENSIVO,,,,4.515,,197,,0.04,,,0.03,,0.03
,49,UNID. INTERN. ADULTO 1º ANDAR A,,,,2.138,,122,,0.06,,,0.01,,0.02
,168,UNID. INTERN. ADULTO 1º ANDAR B,,,,1.327,,45,,0.03,,,0.01,,0.01
,92,RECEPCAO DA EMERGENCIA,,,,74,,2,,0.03,,,0.00,,0.00
,228,UNIDADE CIRURGICA - SEGUNDO SUBS,,,,56,,0,,0.00,,,0.00,,0.00
,17,CENTRO CIRURGICO S2,,,,21,,0,,0.00,,,0.00,,0.00
,12,LEITOS DE ESPERA,,,,3,,0,,0.00,,,0.00,,0.00
,36,RADIOLOGIA,,,,3,,0,,0.00,,,0.00,,0.00
,13,EMERGENCIA ADULTO,,,,2,,0,,0.00,,,0.00,,0.00
,14,CENTRO CIRURGICO S1,,,,1,,0,,0.00,,,0.00,,0.00
,99,FARMACIA,,,,1,,0,,0.00,,,0.00,,0.00
,,,,,Totais:,149.938,,6.175,,,0.04,,,,
