,Estoque:,,002,FARMACIA CENTRAL,,,,,,,,,,,
,,,,,,,"Qtd. Itens
Dispensada",,"Qtd. Itens
Devolvida","%
Devolução",,"% Represen.
Dispensação",,"% Represen.
    Devolução",
Setor,,,,,,,,,,,,,,,
,60,UNIDADE CARDIO-INTENSIVA,,,,59.046,,2.745,,0.05,,,0.39,,0.27
,169,UNID. INTERN. ADULTO 3º ANDAR B,,,,33.105,,857,,0.03,,,0.22,,0.08
,170,UTI 5º ANDAR B,,,,21.088,,2.334,,0.11,,,0.14,,0.23
,55,UTI 1,,,,17.252,,2.461,,0.14,,,0.12,,0.24
,51,UNID. INTERN. ADULTO 3º ANDAR A,,,,11.135,,1.235,,0.11,,,0.07,,0.12
,167,UNID. INTERN. ADULTO 2º ANDAR B,,,,4.959,,296,,0.06,,,0.03,,0.03
,50,UNID. INTERN. ADULTO 2º ANDAR A,,,,1.793,,162,,0.09,,,0.01,,0.02
,92,RECEPCAO DA EMERGENCIA,,,,1.101,,1,,0.00,,,0.01,,0.00
,14,CENTRO CIRURGICO S1,,,,314,,0,,0.00,,,0.00,,0.00
,17,CENTRO CIRURGICO S2,,,,17,,0,,0.00,,,0.00,,0.00
,13,EMERGENCIA ADULTO,,,,6,,0,,0.00,,,0.00,,0.00
,48,HEMODINAMICA,,,,2,,0,,0.00,,,0.00,,0.00
,,,,,Totais:,149.818,,10.091,,,0.07,,,,
