,Estoque:,,002,FARMACIA CENTRAL,,,,,,,,,,,
,,,,,,,"Qtd. Itens
Dispensada",,"Qtd. Itens
Devolvida","%
Devolução",,"% Represen.
Dispensação",,"% Represen.
    Devolução",
Setor,,,,,,,,,,,,,,,
,60,UNIDADE CARDIO-INTENSIVA,,,,34.588,,1.845,,0.05,,,0.25,,0.16
,169,UNID. INTERN. ADULTO 3º ANDAR B,,,,30.962,,3.942,,0.13,,,0.22,,0.33
,170,UTI 5º ANDAR B,,,,27.655,,821,,0.03,,,0.20,,0.07
,50,UNID. INTERN. ADULTO 2º ANDAR A,,,,18.643,,2.837,,0.15,,,0.13,,0.24
,51,UNID. INTERN. ADULTO 3º ANDAR A,,,,12.463,,817,,0.07,,,0.09,,0.07
,167,UNID. INTERN. ADULTO 2º ANDAR B,,,,9.362,,1.198,,0.13,,,0.07,,0.10
,55,UTI 1,,,,1.657,,153,,0.09,,,0.01,,0.01
,168,UNID. INTERN. ADULTO 1º ANDAR B,,,,1.554,,119,,0.08,,,0.01,,0.01
,49,UNID. INTERN. ADULTO 1º ANDAR A,,,,1.210,,100,,0.08,,,0.01,,0.01
,92,RECEPCAO DA EMERGENCIA,,,,78,,1,,0.01,,,0.00,,0.00
,17,CENTRO CIRURGICO S2,,,,24,,0,,0.00,,,0.00,,0.00
,14,CENTRO CIRURGICO S1,,,,10,,0,,0.00,,,0.00,,0.00
,13,EMERGENCIA ADULTO,,,,4,,0,,0.00,,,0.00,,0.00
,36,RADIOLOGIA,,,,1,,0,,0.00,,,0.00,,0.00
,,,,,Totais:,138.211,,11.833,,,0.09,,,,
