,Estoque:,,002,FARMACIA CENTRAL,,,,,,,,,,,
,,,,,,,"Qtd. Itens
Dispensada",,"Qtd. Itens
Devolvida","%
Devolução",,"% Represen.
Dispensação",,"% Represen.
    Devolução",
Setor,,,,,,,,,,,,,,,
,170,UTI 5º ANDAR B,,,,21.831,,600,,0.03,,,0.20,,0.10
,60,UNIDADE CARDIO-INTENSIVA,,,,19.671,,854,,0.04,,,0.18,,0.14
,55,UTI 1,,,,18.536,,952,,0.05,,,0.17,,0.16
,169,UNID. INTERN. ADULTO 3º ANDAR B,,,,13.006,,678,,0.05,,,0.12,,0.11
,50,UNID. INTERN. ADULTO 2º ANDAR A,,,,9.141,,962,,0.11,,,0.08,,0.16
,51,UNID. INTERN. ADULTO 3º ANDAR A,,,,8.277,,604,,0.07,,,0.08,,0.10
,167,UNID. INTERN. ADULTO 2º ANDAR B,,,,8.063,,915,,0.11,,,0.07,,0.15
,11,CTI NEURO INTENSIVO,,,,4.730,,177,,0.04,,,0.04,,0.03
,49,UNID. INTERN. ADULTO 1º ANDAR A,,,,2.812,,151,,0.05,,,0.03,,0.02
,168,UNID. INTERN. ADULTO 1º ANDAR B,,,,1.672,,140,,0.08,,,0.02,,0.02
,92,RECEPCAO DA EMERGENCIA,,,,119,,0,,0.00,,,0.00,,0.00
,17,CENTRO CIRURGICO S2,,,,42,,0,,0.00,,,0.00,,0.00
,228,UNIDADE CIRURGICA - SEGUNDO SUBS,,,,28,,0,,0.00,,,0.00,,0.00
,13,EMERGENCIA ADULTO,,,,3,,0,,0.00,,,0.00,,0.00
,12,LEITOS DE ESPERA,,,,2,,0,,0.00,,,0.00,,0.00
,6,ARSENAL EMERGENCIA,,,,1,,0,,0.00,,,0.00,,0.00
,48,HEMODINAMICA,,,,1,,0,,0.00,,,0.00,,0.00
,,,,,Totais:,107.935,,6.033,,,0.06,,,,
