,Estoque:,,002,FARMACIA CENTRAL,,,,,,,,,,,
,,,,,,,"Qtd. Itens
Dispensada",,"Qtd. Itens
Devolvida","%
Devolução",,"% Represen.
Dispensação",,"% Represen.
    Devolução",
Setor,,,,,,,,,,,,,,,
,60,UNIDADE CARDIO-INTENSIVA,,,,23.651,,970,,0.04,,,0.24,,0.14
,55,UTI 1,,,,20.521,,1.269,,0.06,,,0.21,,0.19
,170,UTI 5º ANDAR B,,,,12.125,,497,,0.04,,,0.12,,0.07
,169,UNID. INTERN. ADULTO 3º ANDAR B,,,,11.367,,937,,0.08,,,0.12,,0.14
,51,UNID. INTERN. ADULTO 3º ANDAR A,,,,9.010,,1.155,,0.13,,,0.09,,0.17
,50,UNID. INTERN. ADULTO 2º ANDAR A,,,,7.243,,755,,0.10,,,0.07,,0.11
,167,UNID. INTERN. ADULTO 2º ANDAR B,,,,5.863,,670,,0.11,,,0.06,,0.10
,11,CTI NEURO INTENSIVO,,,,5.524,,198,,0.04,,,0.06,,0.03
,49,UNID. INTERN. ADULTO 1º ANDAR A,,,,2.188,,225,,0.10,,,0.02,,0.03
,168,UNID. INTERN. ADULTO 1º ANDAR B,,,,744,,29,,0.04,,,0.01,,0.00
,92,RECEPCAO DA EMERGENCIA,,,,156,,0,,0.00,,,0.00,,0.00
,228,UNIDADE CIRURGICA - SEGUNDO SUBS,,,,29,,0,,0.00,,,0.00,,0.00
,13,EMERGENCIA ADULTO,,,,11,,0,,0.00,,,0.00,,0.00
,17,CENTRO CIRURGICO S2,,,,8,,0,,0.00,,,0.00,,0.00
,14,CENTRO CIRURGICO S1,,,,2,,0,,0.00,,,0.00,,0.00
,12,LEITOS DE ESPERA,,,,2,,0,,0.00,,,0.00,,0.00
,,,,,Totais:,98.444,,6.705,,,0.07,,,,
