,Estoque:,,002,FARMACIA CENTRAL,,,,,,,,,,,
,,,,,,,"Qtd. Itens
Dispensada",,"Qtd. Itens
Devolvida","%
Devolução",,"% Represen.
Dispensação",,"% Represen.
    Devolução",
Setor,,,,,,,,,,,,,,,
,60,UNIDADE CARDIO-INTENSIVA,,,,30.613,,2.147,,0.07,,,0.26,,0.27
,170,UTI 5º ANDAR B,,,,26.633,,1.283,,0.05,,,0.22,,0.16
,55,UTI 1,,,,21.767,,1.490,,0.07,,,0.18,,0.19
,169,UNID. INTERN. ADULTO 3º ANDAR B,,,,12.131,,681,,0.06,,,0.10,,0.08
,50,UNID. INTERN. ADULTO 2º ANDAR A,,,,9.137,,678,,0.07,,,0.08,,0.08
,51,UNID. INTERN. ADULTO 3º ANDAR A,,,,8.064,,849,,0.11,,,0.07,,0.11
,167,UNID. INTERN. ADULTO 2º ANDAR B,,,,6.938,,720,,0.10,,,0.06,,0.09
,49,UNID. INTERN. ADULTO 1º ANDAR A,,,,1.563,,120,,0.08,,,0.01,,0.01
,11,CTI NEURO INTENSIVO,,,,1.334,,42,,0.03,,,0.01,,0.01
,168,UNID. INTERN. ADULTO 1º ANDAR B,,,,253,,24,,0.09,,,0.00,,0.00
,92,RECEPCAO DA EMERGENCIA,,,,111,,4,,0.04,,,0.00,,0.00
,228,UNIDADE CIRURGICA - SEGUNDO SUBS,,,,49,,6,,0.12,,,0.00,,0.00
,17,CENTRO CIRURGICO S2,,,,36,,0,,0.00,,,0.00,,0.00
,12,LEITOS DE ESPERA,,,,13,,0,,0.00,,,0.00,,0.00
,13,EMERGENCIA ADULTO,,,,5,,0,,0.00,,,0.00,,0.00
,14,CENTRO CIRURGICO S1,,,,5,,0,,0.00,,,0.00,,0.00
,48,HEMODINAMICA,,,,2,,0,,0.00,,,0.00,,0.00
,,,,,Totais:,118.654,,8.044,,,0.07,,,,
