,Estoque:,,002,FARMACIA CENTRAL,,,,,,,,,,,
,,,,,,,"Qtd. Itens
Dispensada",,"Qtd. Itens
Devolvida","%
Devolução",,"% Represen.
Dispensação",,"% Represen.
    Devolução",
Setor,,,,,,,,,,,,,,,
,170,UTI 5º ANDAR B,,,,21.008,,1.173,,0.06,,,0.22,,0.14
,55,UTI 1,,,,18.727,,1.918,,0.10,,,0.20,,0.23
,60,UNIDADE CARDIO-INTENSIVA,,,,15.341,,1.054,,0.07,,,0.16,,0.13
,169,UNID. INTERN. ADULTO 3º ANDAR B,,,,13.332,,1.149,,0.09,,,0.14,,0.14
,51,UNID. INTERN. ADULTO 3º ANDAR A,,,,9.732,,903,,0.09,,,0.10,,0.11
,167,UNID. INTERN. ADULTO 2º ANDAR B,,,,8.475,,1.030,,0.12,,,0.09,,0.13
,50,UNID. INTERN. ADULTO 2º ANDAR A,,,,8.289,,892,,0.11,,,0.09,,0.11
,168,UNID. INTERN. ADULTO 1º ANDAR B,,,,245,,37,,0.15,,,0.00,,0.00
,49,UNID. INTERN. ADULTO 1º ANDAR A,,,,223,,18,,0.08,,,0.00,,0.00
,92,RECEPCAO DA EMERGENCIA,,,,55,,0,,0.00,,,0.00,,0.00
,13,EMERGENCIA ADULTO,,,,7,,0,,0.00,,,0.00,,0.00
,36,RADIOLOGIA,,,,7,,6,,0.86,,,0.00,,0.00
,42,ALMOXARIFADO CONSIGNADO,,,,6,,0,,0.00,,,0.00,,0.00
,228,UNIDADE CIRURGICA - SEGUNDO SUBS,,,,6,,0,,0.00,,,0.00,,0.00
,17,CENTRO CIRURGICO S2,,,,6,,0,,0.00,,,0.00,,0.00
,6,ARSENAL EMERGENCIA,,,,3,,0,,0.00,,,0.00,,0.00
,4,DISPENSARIO POS OP S2,,,,2,,0,,0.00,,,0.00,,0.00
,,,,,Totais:,95.464,,8.180,,,0.09,,,,
