,Estoque:,,002,FARMACIA CENTRAL,,,,,,,,,,,
,,,,,,,"Qtd. Itens
Dispensada",,"Qtd. Itens
Devolvida","%
Devolução",,"% Represen.
Dispensação",,"% Represen.
    Devolução",
Setor,,,,,,,,,,,,,,,
,60,UNIDADE CARDIO-INTENSIVA,,,,65.895,,1.254,,0.02,,,0.32,,0.16
,170,UTI 5º ANDAR B,,,,58.896,,959,,0.02,,,0.28,,0.12
,55,UTI 1,,,,26.325,,1.391,,0.05,,,0.13,,0.17
,51,UNID. INTERN. ADULTO 3º ANDAR A,,,,13.036,,1.137,,0.09,,,0.06,,0.14
,169,UNID. INTERN. ADULTO 3º ANDAR B,,,,11.480,,762,,0.07,,,0.06,,0.10
,167,UNID. INTERN. ADULTO 2º ANDAR B,,,,10.520,,1.080,,0.10,,,0.05,,0.14
,11,CTI NEURO INTENSIVO,,,,9.633,,298,,0.03,,,0.05,,0.04
,50,UNID. INTERN. ADULTO 2º ANDAR A,,,,7.359,,715,,0.10,,,0.04,,0.09
,49,UNID. INTERN. ADULTO 1º ANDAR A,,,,2.611,,234,,0.09,,,0.01,,0.03
,168,UNID. INTERN. ADULTO 1º ANDAR B,,,,1.686,,150,,0.09,,,0.01,,0.02
,92,RECEPCAO DA EMERGENCIA,,,,110,,1,,0.01,,,0.00,,0.00
,17,CENTRO CIRURGICO S2,,,,26,,0,,0.00,,,0.00,,0.00
,228,UNIDADE CIRURGICA - SEGUNDO SUBS,,,,19,,2,,0.11,,,0.00,,0.00
,13,EMERGENCIA ADULTO,,,,5,,0,,0.00,,,0.00,,0.00
,48,HEMODINAMICA,,,,4,,0,,0.00,,,0.00,,0.00
,14,CENTRO CIRURGICO S1,,,,4,,0,,0.00,,,0.00,,0.00
,,,,,Totais:,207.609,,7.983,,,0.04,,,,
