,Estoque:,,002,FARMACIA CENTRAL,,,,,,,,,,,
,,,,,,,"Qtd. Itens
Dispensada",,"Qtd. Itens
Devolvida","%
Devolução",,"% Represen.
Dispensação",,"% Represen.
    Devolução",
Setor,,,,,,,,,,,,,,,
,170,UTI 5º ANDAR B,,,,52.168,,875,,0.02,,,0.35,,0.14
,60,UNIDADE CARDIO-INTENSIVA,,,,29.986,,1.135,,0.04,,,0.20,,0.18
,55,UTI 1,,,,24.855,,1.195,,0.05,,,0.17,,0.19
,169,UNID. INTERN. ADULTO 3º ANDAR B,,,,11.156,,589,,0.05,,,0.07,,0.09
,51,UNID. INTERN. ADULTO 3º ANDAR A,,,,8.106,,613,,0.08,,,0.05,,0.10
,167,UNID. INTERN. ADULTO 2º ANDAR B,,,,7.829,,714,,0.09,,,0.05,,0.11
,11,CTI NEURO INTENSIVO,,,,7.186,,281,,0.04,,,0.05,,0.04
,50,UNID. INTERN. ADULTO 2º ANDAR A,,,,6.535,,722,,0.11,,,0.04,,0.12
,168,UNID. INTERN. ADULTO 1º ANDAR B,,,,777,,55,,0.07,,,0.01,,0.01
,49,UNID. INTERN. ADULTO 1º ANDAR A,,,,534,,66,,0.12,,,0.00,,0.01
,92,RECEPCAO DA EMERGENCIA,,,,76,,0,,0.00,,,0.00,,0.00
,17,CENTRO CIRURGICO S2,,,,28,,0,,0.00,,,0.00,,0.00
,228,UNIDADE CIRURGICA - SEGUNDO SUBS,,,,26,,0,,0.00,,,0.00,,0.00
,13,EMERGENCIA ADULTO,,,,5,,0,,0.00,,,0.00,,0.00
,14,CENTRO CIRURGICO S1,,,,3,,0,,0.00,,,0.00,,0.00
,12,LEITOS DE ESPERA,,,,1,,0,,0.00,,,0.00,,0.00
,,,,,Totais:,149.271,,6.245,,,0.04,,,,
